Pays;Annee_civile;Annee;G;L;H;Rdt
Belgium;2003;1;0.2;0.8;2.56;3.38
Iceland_a;2003;1;0.2;0.8;2.56;1.689
Sweden_a;2003;1;0.2;0.8;2.56;4.344
Belgium;2004;2;0.2;0.8;2.56;6.334
France;2004;1;0.2;0.8;2.56;3.354
Iceland_a;2004;2;0.2;0.8;2.56;1.244
Norway_a;2004;1;0.2;0.8;2.56;4.824
Sweden_a;2004;2;0.2;0.8;2.56;4.567
Sweden_b;2004;1;0.2;0.8;2.56;3.314
Belgium;2005;3;0.2;0.8;2.56;4.407
France;2005;2;0.2;0.8;2.56;5.686
Iceland_a;2005;3;0.2;0.8;2.56;1.202
Norway_a;2005;2;0.2;0.8;2.56;4.548
Sweden_a;2005;3;0.2;0.8;2.56;4.146
Sweden_b;2005;2;0.2;0.8;2.56;3.063
France;2006;3;0.2;0.8;2.56;4.496
Norway_a;2006;3;0.2;0.8;2.56;4.043
Sweden_b;2006;3;0.2;0.8;2.56;2.332
Belgium;2003;1;0;1;1;2.513
Iceland_a;2003;1;0;1;1;1.855
Sweden_a;2003;1;0;1;1;2.433
Belgium;2004;2;0;1;1;3.087
France;2004;1;0;1;1;2.363
Iceland_a;2004;2;0;1;1;1.808
Norway_a;2004;1;0;1;1;2.887
Sweden_a;2004;2;0;1;1;2.427
Sweden_b;2004;1;0;1;1;2.924
Belgium;2005;3;0;1;1;2.444
France;2005;2;0;1;1;3.586
Iceland_a;2005;3;0;1;1;1.888
Norway_a;2005;2;0;1;1;2.227
Sweden_a;2005;3;0;1;1;1.753
Sweden_b;2005;2;0;1;1;2.053
France;2006;3;0;1;1;3.04
Norway_a;2006;3;0;1;1;1.971
Sweden_b;2006;3;0;1;1;1.274
Belgium;2003;1;0;1;1;2.19
Iceland_a;2003;1;0;1;1;1.089
Sweden_a;2003;1;0;1;1;2.615
Belgium;2004;2;0;1;1;2.71
France;2004;1;0;1;1;3.02
Iceland_a;2004;2;0;1;1;0.988
Norway_a;2004;1;0;1;1;3.047
Sweden_a;2004;2;0;1;1;2.435
Sweden_b;2004;1;0;1;1;2.702
Belgium;2005;3;0;1;1;2.002
France;2005;2;0;1;1;4.669
Iceland_a;2005;3;0;1;1;1.173
Norway_a;2005;2;0;1;1;2.549
Sweden_a;2005;3;0;1;1;1.968
Sweden_b;2005;2;0;1;1;2.43
France;2006;3;0;1;1;3.967
Norway_a;2006;3;0;1;1;2.184
Sweden_b;2006;3;0;1;1;1.655
Belgium;2003;1;1;0;1;3.053
Iceland_a;2003;1;1;0;1;2.164
Sweden_a;2003;1;1;0;1;2.723
Belgium;2004;2;1;0;1;3.78
France;2004;1;1;0;1;2.552
Iceland_a;2004;2;1;0;1;1.337
Norway_a;2004;1;1;0;1;0.883
Sweden_a;2004;2;1;0;1;0.944
Sweden_b;2004;1;1;0;1;1.413
Belgium;2005;3;1;0;1;2.82
France;2005;2;1;0;1;3.962
Iceland_a;2005;3;1;0;1;1.07
Norway_a;2005;2;1;0;1;1.616
Sweden_a;2005;3;1;0;1;0.696
Sweden_b;2005;2;1;0;1;0.59
France;2006;3;1;0;1;3.25
Norway_a;2006;3;1;0;1;1.843
Sweden_b;2006;3;1;0;1;0.658
Belgium;2003;1;1;0;1;2.645
Iceland_a;2003;1;1;0;1;1.299
Sweden_a;2003;1;1;0;1;3.3
Belgium;2004;2;1;0;1;3.612
France;2004;1;1;0;1;2.241
Iceland_a;2004;2;1;0;1;0.775
Norway_a;2004;1;1;0;1;3.883
Sweden_a;2004;2;1;0;1;2.257
Sweden_b;2004;1;1;0;1;1.599
Belgium;2005;3;1;0;1;2.791
France;2005;2;1;0;1;3.525
Iceland_a;2005;3;1;0;1;0.866
Norway_a;2005;2;1;0;1;2.842
Sweden_a;2005;3;1;0;1;1.662
Sweden_b;2005;2;1;0;1;0.557
France;2006;3;1;0;1;2.747
Norway_a;2006;3;1;0;1;3.497
Sweden_b;2006;3;1;0;1;0.661
Belgium;2003;1;1;0;1;2.161
Iceland_a;2003;1;1;0;1;2.668
Sweden_a;2003;1;1;0;1;2.586
Belgium;2004;2;1;0;1;4.272
France;2004;1;1;0;1;1.39
Iceland_a;2004;2;1;0;1;2.099
Norway_a;2004;1;1;0;1;1.372
Sweden_a;2004;2;1;0;1;1.944
Sweden_b;2004;1;1;0;1;2.039
Belgium;2005;3;1;0;1;3.379
France;2005;2;1;0;1;2.264
Iceland_a;2005;3;1;0;1;1.686
Norway_a;2005;2;1;0;1;1.902
Sweden_a;2005;3;1;0;1;1.492
Sweden_b;2005;2;1;0;1;0.951
France;2006;3;1;0;1;1.61
Norway_a;2006;3;1;0;1;2.273
Sweden_b;2006;3;1;0;1;0.971
Belgium;2003;1;1;0;1;2.052
Iceland_a;2003;1;1;0;1;1.075
Sweden_a;2003;1;1;0;1;4.355
Belgium;2004;2;1;0;1;4.104
France;2004;1;1;0;1;1.718
Iceland_a;2004;2;1;0;1;0.899
Norway_a;2004;1;1;0;1;4.142
Sweden_a;2004;2;1;0;1;3.724
Sweden_b;2004;1;1;0;1;1.637
Belgium;2005;3;1;0;1;3.448
France;2005;2;1;0;1;2.982
Iceland_a;2005;3;1;0;1;0.968
Norway_a;2005;2;1;0;1;4.58
Sweden_a;2005;3;1;0;1;3.404
